FileName :  2024-04-16-v1.qtiDat
Signal(s) Used : Si Ka, Ti Ka, Mn Ka, Cr Ka, Ni Ka, O  Ka, Mg Ka, Fe Ka
Spectrometers Conditions :  Sp4 TAP,  Sp3 LPET,  Sp5 LLIF,  Sp3 LPET,  Sp5 LLIF,  Sp1 PC0,  Sp4 TAP,  Sp2 LIF
Full Spectrometers Conditions :  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp1 PC0(2d= 45,K= 0.0089),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 LIF(2d= 4.0267,K= 5.8E-05)
Column Conditions : Cond 1 : 15 keV 10 nA 
Date : Apr-17-2024
User Name : SX954-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\7_elts_15kV_YL_2024-04-16_v1.qtiSet
DataSet Comment : 23C-MO4-ox1
Comment :  
Analysis Date : Tuesday, April 16, 2024 12:21:57 PM
Project Name : 4th Years 2023
Sample Name : Yingbo Li
Analysis Parameters : 	
Peak measurement parameters :	
Sp	Elements	Xtal	Position	Mode	Bias	Gain	Dtime	Blin	Wind	Pha Mode	
Sp4	Si Ka		TAP	27736	P-B	1309	3057	3	560	 	Inte
Sp3	Ti Ka		LPET	31412	P-B	1868	1098	3	560	 	Inte
Sp5	Mn Ka		LLIF	52185	P-B	1853	469	3	560	 	Inte
Sp3	Cr Ka		LPET	26152	P-B	1873	1153	3	560	 	Inte
Sp5	Ni Ka		LLIF	41188	P-B	1853	469	3	560	 	Inte
Sp1	O  Ka		PC0	52934	P-B	1509	474	3	560	 	Inte
Sp4	Mg Ka		TAP	38510	P-B	1314	3055	3	560	 	Inte
Sp2	Fe Ka		LIF	48051	P-B	1307	469	3	560	 	Inte
Background measurement parameters :	
Sp	Elements	Xtal	Bg method	NBgs	Positions	
Sp4	Si Ka		TAP	Meas		2	(-750, 850)
Sp3	Ti Ka		LPET	Meas		2	(-1000, 800)
Sp5	Mn Ka		LLIF	Meas		2	(-800, 800)
Sp3	Cr Ka		LPET	Meas		2	(-800, 800)
Sp5	Ni Ka		LLIF	Meas		2	(-600, 600)
Sp1	O  Ka		PC0	Meas		2	(-3400, 3400)
Sp4	Mg Ka		TAP	Meas		2	(-1750, 1400)
Sp2	Fe Ka		LIF	Meas		2	(-1000, 1000)
Background modeling parameters :	
Sp	Elements	Xtal	Bg method	Bg model	Parameters	
Sp4	Si Ka		TAP	Meas		Linear	-1.6504E-004 X + 6.0816E+000
Sp3	Ti Ka		LPET	Meas		Linear	-5.0944E-004 X + 2.1406E+001
Sp5	Mn Ka		LLIF	Meas		Linear	-2.2134E-004 X + 1.2610E+001
Sp3	Cr Ka		LPET	Meas		Linear	-1.9227E-003 X + 6.0648E+001
Sp5	Ni Ka		LLIF	Meas		Linear	-1.0356E-005 X + 2.2593E+000
Sp1	O  Ka		PC0	Meas		Linear	5.5748E-005 X + -1.7672E-001
Sp4	Mg Ka		TAP	Meas		Linear	-4.1417E-005 X + 2.1002E+000
Sp2	Fe Ka		LIF	Meas		Linear	5.4358E-006 X + 6.5722E-002
Peak Position :  Sp4 27736,  Sp3 31412,  Sp5 52185,  Sp3 26152,  Sp5 41188,  Sp1 52934,  Sp4 38510,  Sp2 48051
Current Sample Position :  X = 1080 Y = -28961 Z = 189 BeamX = 0.00 BeamX = 0.00
Standard Name : 
Si On Albite
Ti On TiO2
Mn On Mn
Cr On Cr
Ni On Ni
O  ,Mg On MgO
Fe On Fe
Standard composition : 
Albite = O  : 48.75%, Na : 8.61%, Al : 10.34%, Si : 32.03%, K  : 0.20%, Ca : 0.08%
TiO2 = O  : 40.07%, Ti : 59.93%
Mn = Mn : 99.99%
Cr = Cr : 100.00%
Ni = Ni : 100.00%
MgO = O  : 39.70%, Mg : 60.30%
Fe = Fe : 100.00%
Calibration file name (Element intensity cps/nA) : 
Si : Other\Albite_15kV_SiKa-Sp4-TAP_135.calDat (Si : 336.6 cps/nA)
Ti : Other\TiO2_15kV_TiKa-Sp3-LPET_052.calDat (Ti : 1702.6 cps/nA)
Mn : Other\Mn_15kV_MnKa-Sp5-LLIF_092.calDat (Mn : 486.1 cps/nA)
Cr : Other\Cr_15kV_CrKa-Sp3-LPET_008.calDat (Cr : 3312.5 cps/nA)
Ni : Other\Ni_15kV_NiKa-Sp5-LLIF_032.calDat (Ni : 484.9 cps/nA)
O  ,Mg : Other\MgO_15kV_OKa-Sp1-PC0_MgKa-Sp4-TAP_001.calDat (O  : 152.4 cps/nA, Mg : 481.0 cps/nA)
Fe : Other\Fe_15kV_FeKa-Sp2-LIF_002.calDat (Fe : 102.2 cps/nA)
Beam Size : 10 ?m

	Beam curr (nA)	Peak Time (s)	Weight%	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	Si	Ti	Mn	Cr	Ni	O 	Mg	Fe	Si	Ti	Mn	Cr	Ni	O 	Mg	Fe	Si	Ti	Mn	Cr	Ni	O 	Mg	Fe	Total	Si	Ti	Mn	Cr	Ni	O 	Mg	Fe	Si	Ti	Mn	Cr	Ni	O 	Mg	Fe	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	21.4636	21.4636	21.4636	21.4636	21.4636	21.4636	21.4636	21.4636	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0200	0.4273	0.1568	8.4314	0.5432	24.5191	0.8825	61.1706	96.1511	256	147	455	179	627	488	321	873	0.0220	0.0185	0.0438	0.0596	0.0669	0.3095	0.0590	1.0649	1080.0	-28961.0	189.0	 	 	23C-MO4-ox1	 	16.0121	1	Tuesday, April 16, 2024 12:21:57 PM	
2 / 1 . 	21.3782	21.3782	21.3782	21.3782	21.3782	21.3782	21.3782	21.3782	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	19.4772	-0.0050	0.0853	-0.0012	0.2666	43.0305	30.0259	7.6219	100.5011	257	136	353	163	508	602	215	689	0.2967	0.0112	0.0342	0.0135	0.0522	0.5184	0.2646	0.2796	19418.0	6269.0	138.0	 	 	sjiol_ss	 	10.4522	2	Tuesday, April 16, 2024 12:28:34 PM	
3 / 1 . 	20.6595	20.6595	20.6595	20.6595	20.6595	20.6595	20.6595	20.6595	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0175	0.4908	0.1615	8.5605	0.5807	24.9371	0.9406	60.0201	95.7088	264	148	473	186	631	501	323	858	0.0226	0.0195	0.0454	0.0614	0.0686	0.3161	0.0615	1.0578	-1687.0	-26019.0	181.0	 	 	23C-MO4-ox2	 	15.8763	3	Tuesday, April 16, 2024 1:57:47 PM	
4 / 1 . 	20.5771	20.5771	20.5771	20.5771	20.5771	20.5771	20.5771	20.5771	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0125	0.4276	0.1673	8.0824	0.5583	24.8685	0.9084	60.7955	95.8205	264	150	475	183	640	506	342	886	0.0224	0.0188	0.0458	0.0597	0.0687	0.3157	0.0615	1.0694	-822.0	-26180.0	181.0	 	 	23C-MO4-ox3	 	15.9090	4	Tuesday, April 16, 2024 2:00:52 PM	
5 / 1 . 	20.5633	20.5633	20.5633	20.5633	20.5633	20.5633	20.5633	20.5633	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0143	0.5173	0.1810	8.1994	0.5666	25.1454	1.0875	60.1956	95.9071	262	149	466	184	640	501	342	887	0.0223	0.0199	0.0457	0.0602	0.0689	0.3186	0.0661	1.0615	-400.0	-26800.0	178.0	 	 	23C-MO4-ox4	 	15.8254	5	Tuesday, April 16, 2024 2:03:56 PM	
6 / 1 . 	20.4733	20.4733	20.4733	20.4733	20.4733	20.4733	20.4733	20.4733	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0116	0.4586	0.1743	8.2774	0.5857	24.6812	1.1042	60.8217	96.1146	265	150	479	185	640	502	322	901	0.0225	0.0193	0.0463	0.0606	0.0694	0.3142	0.0659	1.0708	162.0	-26622.0	178.0	 	 	23C-MO4-ox5	 	15.9464	6	Tuesday, April 16, 2024 2:06:59 PM	
7 / 1 . 	20.4763	20.4763	20.4763	20.4763	20.4763	20.4763	20.4763	20.4763	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0075	0.4761	0.1884	8.3825	0.5430	24.8611	1.1361	60.4540	96.0486	271	152	455	185	636	504	328	820	0.0228	0.0196	0.0452	0.0610	0.0681	0.3160	0.0669	1.0654	1012.0	-26155.0	178.0	 	 	23C-MO4-ox6	 	15.8947	7	Tuesday, April 16, 2024 2:10:05 PM	
8 / 1 . 	20.4474	20.4474	20.4474	20.4474	20.4474	20.4474	20.4474	20.4474	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0090	0.5260	0.1747	8.4998	0.5447	25.1308	1.1084	60.6327	96.6261	260	151	470	185	643	511	333	893	0.0219	0.0202	0.0458	0.0615	0.0686	0.3189	0.0664	1.0685	2856.0	-25277.0	173.0	 	 	23C-MO4-ox7	 	15.8692	8	Tuesday, April 16, 2024 2:13:07 PM	
9 / 1 . 	20.4077	20.4077	20.4077	20.4077	20.4077	20.4077	20.4077	20.4077	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0110	0.4681	0.1807	8.4334	0.5681	25.2634	1.1230	59.6869	95.7345	268	149	468	186	649	508	343	853	0.0227	0.0194	0.0459	0.0613	0.0696	0.3202	0.0671	1.0561	3291.0	-24035.0	172.0	 	 	23C-MO4-ox8	 	15.7819	9	Tuesday, April 16, 2024 2:16:10 PM	
10 / 1 . 	20.3604	20.3604	20.3604	20.3604	20.3604	20.3604	20.3604	20.3604	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.1120	0.4606	0.1812	8.3611	0.5848	25.3086	1.2903	59.4608	95.7593	265	151	474	187	663	503	319	873	0.0256	0.0194	0.0463	0.0612	0.0710	0.3208	0.0704	1.0537	3259.0	-24029.0	173.0	 	 	23C-MO4-ox9	 	15.7457	10	Tuesday, April 16, 2024 2:19:14 PM	
11 / 1 . 	20.3741	20.3741	20.3741	20.3741	20.3741	20.3741	20.3741	20.3741	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0124	0.4559	0.1902	8.4589	0.6046	25.0890	1.1482	59.9646	95.9238	270	152	460	185	635	502	333	863	0.0229	0.0194	0.0456	0.0614	0.0697	0.3185	0.0675	1.0602	3197.0	-24072.0	172.0	 	 	23C-MO4-ox10	 	15.8318	11	Tuesday, April 16, 2024 2:22:18 PM	
12 / 1 . 	20.3848	20.3848	20.3848	20.3848	20.3848	20.3848	20.3848	20.3848	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0040	0.4983	0.1855	9.2917	0.6061	24.7787	0.8965	59.1426	95.4033	270	152	472	187	650	510	334	901	0.0225	0.0199	0.0463	0.0644	0.0706	0.3154	0.0610	1.0490	2963.0	-22911.0	170.0	 	 	23C-MO4-ox11	 	15.8944	12	Tuesday, April 16, 2024 2:25:23 PM	
13 / 1 . 	20.3100	20.3100	20.3100	20.3100	20.3100	20.3100	20.3100	20.3100	30.0000	30.0000	30.0000	30.0000	30.0000	60.0000	30.0000	60.0000	0.0233	0.5014	0.2091	8.1722	0.6135	24.8663	1.0832	60.2864	95.7554	262	152	457	185	637	501	356	870	0.0226	0.0199	0.0461	0.0605	0.0701	0.3166	0.0668	1.0653	1993.0	-22392.0	169.0	 	 	23C-MO4-ox12	 	15.8817	13	Tuesday, April 16, 2024 2:28:27 PM	
