sample,mass_1,mass_2,mass_3,mass_4,mass_5,mass_6,vol_water_1,vol_water_sample_1,cylinder_vol_1,vol_water_2,vol_water_sample_2,cylinder_vol_2,vol_water_3,vol_water_sample_3,cylinder_vol_3,vol_water_4,vol_water_sample_4,cylinder_vol_4
M01-vein,5.347,5.347,5.347,,,,24,26.5,50,16.5,19,50,17.5,20,50,17.5,20,50
M01,6.227,6.225,6.226,,,,17.5,20,50,15,18,50,18.5,21,50,17,19.5,50
M02,4.925,4.925,4.924,,,,11,13,25,8.5,10.5,25,14.5,16.5,25,7,9,25
M07A1,4.979,4.977,4.974,4.975,4.977,4.974,15.5,17.5,25,13,15.25,25,10.25,12.5,25,11.25,13.5,25
M07A2,4.425,4.423,4.425,,,,11.75,13.5,25,12.5,14.5,25,13.5,15.5,25,13.5,15.25,25
07B,3.259,3.258,3.259,,,,10.25,11.5,25,10,11.25,25,10.5,12,25,9,10.5,25
M08B,1.774,1.774,1.776,,,,10.5,11.25,25,7,7.75,25,10.25,11,25,8.5,9.25,25
06A,4.362,4.362,4.363,,,,14,15.75,25,12.5,14.25,25,11.5,13.25,25,12.25,14.25,25
06B,5.493,5.491,5.492,,,,20,22,50,12,14,50,15,17.5,50,12,14.5,50
06C,6.291,6.29,6.291,,,,20,23,50,18.5,21,50,19,21.5,50,13,16,50
07A,7.224,7.222,7.222,,,,14.75,17.75,25,14.25,17,25,14.5,17.25,25,9,12,25
M07B,8.164,8.164,8.164,,,,20.25,23.5,25,21.5,25,25,20,23.5,25,19,22.5,25
M04,5.461,5.46,5.461,,,,16.5,19,50,17,19,50,18,20,50,22,24,50
