Mineral,Na,Mg,Si,Al,P,Ti,K,Ca,Mn,Fe,Cr,O,Comment
,3.2577,0.0643,24.8403,15.4011,0.0107,0.0404,0.2308,8.6246,0.0167,0.2809,0.0017,46.7945,labradorite-17-04-24-1
,3.1631,0.0616,24.7635,15.4786,0.0066,0.0424,0.2387,8.6032,0.0174,0.2729,0.0003,46.7277,labradorite-17-04-24-2
,0.0173,29.953,19.2358,-0.0042,0.0034,0.0032,0.0023,0.0086,0.0859,7.5922,-0.0067,43.8445,sji-ol-17-04-24-3
,-0.0139,30.0826,19.1765,-0.0088,0.01,-0.0023,0.0027,0.0109,0.0858,7.535,0.0049,43.8422,sji-ol-17-04-24-4
amp,0.1191,14.3442,26.9816,0.3796,0.0116,0.0095,0.0187,9.1994,0.0319,1.1191,0.0287,44.6047,M08B_amph1
,,,,,,,,,,,,,M08B_amph2
srp,0.1684,17.8255,20.0172,0.1818,0.0061,0.001,0.0661,0.0914,0.0584,4.728,0.004,36.1939,M08B_serp-30um
late-clc,0.031,20.2471,14.93,8.1178,0.0057,0.0161,0.0128,0.0051,0.0285,2.2745,0.65,38.5537,M08B_1
late-clc,0.0284,20.0626,14.9977,8.1927,-0.0076,0.0025,-0.0008,0.0136,0.0033,2.2431,0.71,38.5609,M08B_2
early-clc,0.0452,20.096,15.065,8.2399,-0.0031,0.0136,0.0,0.0084,0.0065,2.1609,0.6473,38.6672,M08B_3
early-clc,-0.0078,20.1293,14.6861,8.5507,-0.0121,0.0116,0.0096,0.0154,0.0016,2.6751,0.5664,38.6157,M08B_4
early-clc,0.0,19.8305,14.6768,8.8092,-0.0043,0.018,-0.0048,0.0009,0.0171,2.7961,0.5532,38.6798,M08B_5
amp,0.1672,14.4151,26.9473,0.4837,0.004,0.0247,0.0416,9.0494,0.0419,1.125,0.0318,44.6728,M08B_6
amp,0.1458,14.289,26.8541,0.4798,0.0008,0.0061,0.0047,9.1195,0.0815,1.1537,0.0264,44.4938,M08B_7
amp,0.1471,14.3812,27.0953,0.3952,0.0006,0.008,0.0189,9.0974,0.0486,1.1267,0.018,44.7284,M08B_8
amp,0.1201,14.1666,26.9479,0.5078,0.013,0.0234,0.022,9.0549,0.0346,1.1682,0.0281,44.5325,M08B_9
amp,0.168,14.3252,26.8953,0.5164,0.0017,0.0144,0.0339,8.9768,0.0709,1.2088,0.0489,44.5836,M08B_10
amp,0.1106,14.2781,27.0408,0.3878,0.0032,0.004,0.0221,9.0819,0.0215,1.0936,0.0141,44.5552,M08B_11
late-clc,-0.0026,19.7831,14.8628,8.2936,0.0067,0.0141,0.0,-0.0009,0.0189,2.2595,0.688,38.3217,M08B_12
amp,0.1067,14.2998,26.9775,0.3897,-0.0029,0.0141,0.0276,9.1219,0.0513,1.0578,0.0189,44.5142,M08B_13
amp,0.1237,14.4097,26.9555,0.3754,0.0042,0.0178,0.0151,9.0317,0.0557,1.0988,0.0281,44.545,M08B_14
amp,0.1224,14.3834,27.0725,0.3783,0.0025,0.01,0.0198,9.0649,0.0532,1.1199,0.0276,44.6751,M08B_15
amp,0.0495,14.3765,27.1561,0.1714,0.0026,0.0339,0.0103,9.1492,0.0158,0.9824,0.0419,44.5606,M08B_16
amp,0.0344,14.4844,27.1054,0.15,0.0084,0.0173,0.0167,9.1126,0.0433,0.9715,0.0253,44.5299,M08B_17
amp,0.1282,14.1668,26.9311,0.3857,0.0008,0.0084,0.0406,9.1533,0.045,1.0191,0.0413,44.3914,M08B_18
amp,0.1617,14.2361,26.879,0.4884,-0.0073,0.0112,0.0175,9.0871,0.0317,1.2447,0.0242,44.4936,M08B_19
amp,0.1533,14.2231,26.9661,0.4169,0.0082,0.0194,0.0295,9.3025,0.0476,1.0267,0.0371,44.58,M08B_20
early-clc,0.0251,19.8924,14.8654,8.456,-0.0102,0.0225,0.0073,-0.001,0.0183,2.4555,0.6527,38.5757,M08B_21
late-clc,0.0066,20.302,15.1805,7.7531,-0.0021,0.008,0.009,0.0134,-0.0175,2.1274,0.6968,38.4955,M08B_22
chl-vein,0.0052,23.5838,20.9128,0.2024,0.0028,0.0027,0.0008,-0.0024,0.0251,1.5705,0.0056,39.999,M01-1
chl-vein,0.013,23.5674,20.9965,0.2122,0.0046,-0.0027,0.0148,0.014,0.0251,1.3697,0.0452,40.0638,M01-2
qz-vein,0.0207,0.08,45.2416,-0.0051,-0.0014,-0.0028,0.015,0.0107,0.0093,0.0393,0.0107,51.6251,M01-3
qz-vein,0.0014,0.0431,45.359,0.0155,-0.005,-0.0008,0.0033,0.0049,-0.0127,0.2119,-0.0046,51.774,M01-4
late-clc,0.0392,19.8734,14.8566,7.4392,-0.0025,0.0339,0.0261,0.0167,-0.0108,3.3434,0.8686,38.0276,M01-5
srp,0.0095,19.8819,22.3662,-0.0053,0.0095,0.0025,0.0265,0.0349,0.0253,2.6138,0.0031,39.3612,M01-srp1
srp,0.0555,19.7396,22.774,0.0073,0.0163,-0.0008,0.044,0.0233,0.0093,2.5739,-0.0013,39.7468,M01-srp2
srp,0.0135,21.6098,21.0442,0.0043,-0.0055,-0.0023,0.0108,0.019,0.0304,2.5397,-0.0069,38.9459,M01-srp3
srp,0.0219,13.5319,17.8881,0.0106,0.0022,-0.0123,0.04,0.0112,0.05,1.929,-0.0002,29.8806,M01-srp4
srp,0.0134,23.4395,19.4316,0.0183,-0.009,0.0023,0.0067,0.0141,0.0475,2.3509,-0.0056,38.2728,M08-srp1
srp,0.0349,23.1913,19.5097,-0.0044,0.0027,-0.0015,0.0108,0.0166,0.0263,2.4231,-0.0021,38.216,M08-srp2
srp,0.0293,20.7023,23.0806,0.0004,-0.007,0.0081,0.0278,0.0202,-0.0078,1.7884,0.0042,40.4585,06C-srp1
srp,0.0505,22.2328,21.1138,0.0072,-0.0086,0.0004,0.0192,0.0545,0.0117,1.7048,0.0011,39.2235,06C-srp2
srp,0.0414,21.5519,22.2386,0.0087,-0.011,0.0007,0.024,0.0056,0.0206,1.5604,0.0038,39.996,06C-srp3
srp,0.0305,22.748,20.8393,0.022,0.0082,-0.0017,-0.0164,0.009,0.0177,1.4285,0.0181,39.1813,06C-srp4
srp,0.2367,19.4341,20.2969,0.0365,0.011,-0.0013,0.0877,0.1401,0.113,2.9765,0.0248,37.0185,06C-srp5
srp,0.0214,23.325,20.6866,0.0116,0.0001,-0.0032,0.0097,0.0102,0.001,1.17,0.0038,39.2836,06C-srp6
srp,0.0385,23.5255,20.3716,0.0081,-0.0062,0.0034,0.0165,0.021,0.0129,1.6509,0.0016,39.2017,06C-srp7
srp-vein,0.025,16.2996,20.6667,0.0427,0.0174,-0.0025,0.0404,0.0569,0.043,5.3566,-0.0041,35.9208,M04-srp1
srp,0.0269,22.8092,19.5496,0.0264,-0.009,0.011,0.0087,0.0335,0.0099,3.1395,0.0179,38.2439,M04-srp2
srp,0.0175,22.4017,19.8583,0.2353,0.0176,0.0297,0.0,0.0057,0.0661,3.4322,0.0331,38.6513,M04-srp3
amp,0.2291,14.0475,26.9766,0.4567,-0.001,0.0267,0.0305,8.9497,0.0659,1.4213,0.0294,44.5053,M04-1
amp,0.2087,14.1487,26.9042,0.4015,0.0013,0.0146,0.0095,8.9364,0.0399,1.3807,0.0273,44.3984,M04-2
amp,0.2921,14.109,26.7559,0.5848,0.0097,0.0326,0.0277,9.0124,0.0629,1.4156,0.0389,44.4742,M04-3
amp,0.1877,14.1804,26.8805,0.4835,0.003,0.0319,-0.0048,8.7742,0.057,1.4345,0.0272,44.4243,M04-4
amp,0.0994,14.4537,27.1623,0.1375,0.012,0.0163,0.0115,9.0952,0.0641,1.1332,0.0327,44.6377,M04-5
amp,0.1662,14.3162,26.9748,0.3216,0.0231,0.0249,0.0278,8.8202,0.0291,1.3487,0.0239,44.4816,M04-6
amp,0.2397,14.3085,26.7407,0.4709,0.0033,0.0302,0.0087,8.8752,0.0434,1.4447,0.0273,44.3975,M04-7
amp,0.258,14.1612,26.705,0.5826,-0.0001,0.0296,0.0202,8.8968,0.0706,1.4374,0.0371,44.3821,M04-8
amp,0.2396,14.0262,26.6346,0.6741,0.0032,0.0481,0.0578,8.9683,0.0323,1.4039,0.051,44.3266,M04-9
late-clc,0.0064,19.5033,14.6252,8.1112,0.0007,0.0294,-0.002,-0.0029,0.009,2.5044,0.7572,37.8083,M04-10
late-clc,0.016,19.8022,14.9903,7.9927,0.0031,0.0341,0.0098,-0.0006,-0.004,2.47,0.7674,38.3196,M04-11
late-clc,0.0016,20.0234,14.9304,8.0745,-0.0085,0.0392,0.0305,0.0006,-0.002,2.5278,0.6425,38.4174,M04-12
late-clc,0.0496,20.0832,14.9429,7.9804,0.0027,0.0186,-0.0049,-0.0081,0.003,2.4301,0.8571,38.4664,M04-13
early-clc,0.0489,21.0388,19.108,0.0183,0.0075,0.0184,0.0206,0.0345,0.1,5.6851,0.0205,37.3616,M04-14
late-clc,0.0048,19.8943,14.9713,8.2864,0.0036,0.0341,0.0069,0.0,0.002,2.573,0.778,38.6523,M04-15
chl-vein,0.0047,24.2412,20.7572,0.0282,-0.0082,0.0009,0.0368,0.0105,0.0,0.9168,-0.0118,39.8938,06c-1
late-clc,0.0179,20.1912,14.911,7.4118,0.0037,0.0068,-0.001,0.0104,0.0211,2.8684,1.3106,38.3262,06c-2
late-clc,0.0373,20.0519,15.0876,7.4553,-0.0113,0.0097,0.002,0.03,0.0101,2.7951,1.2771,38.4324,06c-3
late-clc,0.0032,19.9485,14.75,7.2495,-0.0091,0.0135,0.0177,-0.0081,0.0361,2.8141,1.3429,37.8216,06c-4
late-clc,0.0081,20.0264,14.7872,7.5498,0.0031,0.0084,0.0177,0.0115,0.0261,2.9048,1.3238,38.2186,06c-5
late-clc,0.0245,19.9503,14.7024,7.6233,0.0045,0.0187,0.003,-0.004,0.0282,3.1293,1.2141,38.1567,06c-6
late-clc,0.0425,19.96,14.8065,7.5698,0.0017,0.016,0.0079,0.0086,0.0302,3.1777,1.3335,38.3105,06c-7
late-clc,0.0148,19.7745,14.7343,7.5347,-0.0014,0.0158,0.0109,0.0145,0.0334,3.0446,1.5457,38.1248,06c-8
late-clc,0.0049,20.0902,14.8088,7.466,-0.0029,0.0093,0.0149,-0.0041,-0.0101,2.8734,1.3854,38.2044,06c-9
